title,category,post_id
 Find A Quick Way To GRAPHIC,graphic,1
 How To Sell CRAFT,Craft,2
POLITICS An Incredibly Easy Method That Works For All,politics,3
5 Brilliant Ways To Use POLITICAL,political,4
 How To Make Your MATHEMATICS Look Amazing In 5 Days,Mathematics,5
 Avoid The Top 10 POLITICS Mistakes,politics,6
 3 Simple Tips For Using ZOOLOGY To Get Ahead Your Competition,zoology,7
 Is BUSINESS Worth [$] To You?,business,8
 Old School DANCE,dance,9
" If You Want To Be A Winner, Change Your BANKING Philosophy Now!",banking,10
MATHEMATICS: This Is What Professionals Do,Mathematics,11
 Why Most People Will Never Be Great At HR MANAGEMENT,HR management,12
 Now You Can Buy An App That is Really Made For ART,art,13
 52 Ways To Avoid POLITICS Burnout,politics,14
 5 Ways HR MANAGEMENT Will Help You Get More Business,HR management,15
 Is POLITICAL Worth [$] To You?,political,16
 How To Earn $398/Day Using BANKING,banking,17
 Want A Thriving Business? Focus On POLITICAL!,political,18
 What You Should Have Asked Your Teachers About DANCE,dance,19
 3 Things Everyone Knows About POLITICAL That You Don't,political,20
 10 Funny SCIENCE Quotes,science,21
 Best Make POLITICS You Will Read This Year (in 2015),politics,22
 5 Incredibly Useful MATHEMATICS Tips For Small Businesses,Mathematics,23
 How To Teach MATHEMATICS Better Than Anyone Else,Mathematics,24
 3 Ways Create Better MUSIC With The Help Of Your Dog,Music,25
 The Ugly Truth About DANCE,dance,26
 5 Incredibly Useful ART Tips For Small Businesses,art,27
 Why Ignoring OPERATING SYSTEM Will Cost You Time and Sales,operating system,28
"At Last, The Secret To POLITICAL Is Revealed",political,29
 Where Is The Best BUSINESS?,business,30
 Why Most MUSIC Fail,Music,31
 The Untapped Gold Mine Of FASHION DESIGN That Virtually No One Knows About,Fashion Design,32
 The Biggest Lie In OPERATING SYSTEM,operating system,33
MATHEMATICS And Love Have 4 Things In Common,Mathematics,34
BANKING: What A Mistake!,banking,35
PROGRAMMING Adventures,programming,36
 The Ultimate Secret Of POLITICAL,political,37
 Succeed With BANKING In 24 Hours,banking,38
 To People That Want To Start PAINTING But Are Affraid To Get Started,painting,39
 3 Ways To Master GRAPHIC Without Breaking A Sweat,graphic,40
 OMG! The Best POLITICS Ever!,politics,41
 What Can You Do About PHOTOGRAPHY Right Now,photography,42
 There’s Big Money In OPERATING SYSTEM,operating system,43
 What Can You Do To Save Your FASHION DESIGN From Destruction By Social Media?,Fashion Design,44
 The Untold Secret To Mastering ART In Just 3 Days,art,45
MATHEMATICS: Do You Really Need It? This Will Help You Decide!,Mathematics,46
 15 Unheard Ways To Achieve Greater POLITICS,politics,47
10 Best Practices For CRAFT,Craft,48
 Using 7 DANCE Strategies Like The Pros,dance,49
 How To Save Money with DANCE?,dance,50
 How To Make Your POLITICAL Look Like A Million Bucks,political,51
 What Make BUSINESS Don't Want You To Know,business,52
 Picture Your ART On Top. Read This And Make It So,art,53
 13 Myths About BANKING,banking,54
" If You Want To Be A Winner, Change Your DANCE Philosophy Now!",dance,55
" How We Improved Our OPERATING SYSTEM In One Week(Month, Day)",operating system,56
 Turn Your ART Into A High Performing Machine,art,57
" At Last, The Secret To DRAWING Is Revealed",drawing,58
