userID,post_id,user_rating
140,3997,1
140,940,2
2,4616,4
2,1055,3
61,3933,1
61,3030,1
61,6000,1
38,3939,2
38,4099,1
469,2800,4
173,2632,4
173,1420,2
446,740,1
7,2684,4
301,2931,3
8,5814,4
336,2752,1
9,426,1
9,2145,1
206,3401,4
241,297,2
11,1709,4
11,299,1
397,2732,2
242,5609,1
242,5767,3
13,5086,4
13,3902,1
13,2550,1
413,1793,4
413,915,2
15,1703,4
43,416,1
43,280,1
43,219,2
16,3858,4
16,5117,1
16,4848,3
389,1132,3
17,2815,1
17,3558,3
267,4364,2
18,224,3
225,4923,3
225,456,3
19,1729,3
253,2659,4
253,5041,3
253,3882,3
114,3194,3
114,2821,1
21,729,4
211,3012,3
211,4399,3
211,2341,3
264,376,4
264,2414,2
23,1536,4
457,1275,4
457,4417,1
457,5792,1
457,3897,3
457,4594,2
24,1581,3
24,335,1
24,3113,4
323,3641,3
138,456,4
138,3496,4
106,4372,3
83,3926,2
83,5755,2
83,1152,1
83,1716,4
28,4352,1
182,4656,3
182,1601,4
182,5161,1
29,2806,2
29,4114,2
29,5561,3
484,3518,4
484,1497,4
489,3393,3
31,3957,3
31,5233,1
31,1122,3
32,2994,4
199,4706,3
199,4017,1
199,3268,2
366,1810,1
366,763,2
366,4239,3
35,4637,2
36,3849,1
143,370,2
143,1028,4
143,46,2
143,5162,3
37,402,2
37,729,1
37,2050,1
240,1356,1
343,1612,2
393,1779,4
40,5681,1
395,1435,2
395,4492,3
423,3928,3
423,5597,2
47,4351,4
47,5486,1
47,4668,3
47,4724,3
289,3034,1
289,5634,3
44,3282,4
482,5941,2
482,4639,1
482,1728,2
169,5239,4
169,5563,3
169,3501,2
46,2128,3
46,5276,4
148,3393,2
148,2858,3
148,1206,4
352,5577,3
48,683,3
48,3083,1
48,3373,2
48,3045,4
48,2925,3
259,5849,1
259,3094,2
49,528,4
49,4783,4
50,1255,1
209,3544,1
209,3105,3
52,4793,3
52,5614,2
52,2548,4
124,3617,2
124,2441,4
349,253,1
349,2353,4
349,3593,2
212,2981,1
212,110,1
212,4155,2
212,2533,1
212,1738,3
237,820,3
237,2052,2
237,5273,3
229,382,4
229,1093,4
58,5158,2
58,5661,1
58,550,1
58,1243,3
59,218,2
263,5030,2
464,3500,3
464,4749,1
420,4578,4
420,3671,3
62,2346,1
188,87,4
188,4015,2
188,2020,1
188,3501,4
255,4109,3
67,5150,2
88,5954,3
88,4162,2
68,1019,3
314,5102,2
70,3411,3
70,5196,4
193,1979,2
193,156,3
71,5003,3
133,3226,1
133,118,1
133,3205,1
72,1923,2
73,4363,1
75,4609,4
75,2873,2
77,3908,2
77,5644,1
123,3158,3
123,2742,1
435,3429,4
435,4559,2
79,2701,1
375,2784,4
375,1095,3
80,3042,1
80,5431,4
398,4223,3
398,3875,2
150,3959,1
272,1117,2
160,5430,3
160,3021,2
160,3104,4
160,1813,3
86,4014,2
311,351,2
311,3606,3
89,5376,2
89,5065,3
326,396,4
326,1837,4
91,5144,1
434,998,4
434,1619,4
92,4593,2
92,5361,3
92,620,1
92,1794,4
104,654,3
104,3570,3
93,3275,4
115,1705,4
232,2811,2
232,4063,4
232,5775,2
232,1757,4
232,19,1
232,483,4
308,2865,3
308,379,2
308,3870,2
475,2603,3
475,5689,1
494,85,4
100,3544,1
406,982,1
406,746,3
406,912,4
107,2750,2
107,3176,4
107,694,3
258,2811,1
258,4023,3
258,567,1
186,2895,4
186,1355,2
109,1259,1
201,1813,3
201,4203,4
201,4910,2
201,1483,1
201,1816,3
113,3050,4
113,4647,2
415,5474,3
450,1052,1
116,2305,4
427,1145,2
236,4705,4
236,1177,3
118,370,3
119,3376,2
120,3841,1
141,101,3
300,2633,3
122,5153,2
122,5323,4
379,1174,2
379,1506,4
379,1144,3
379,4525,1
127,1035,2
127,144,2
290,152,2
290,317,4
290,3747,1
290,395,4
221,1487,1
128,19,2
146,587,3
129,2712,2
129,886,1
176,2983,2
176,4534,2
176,3053,1
176,5621,3
261,2577,4
465,4354,3
465,97,4
465,1946,2
465,4200,2
281,1831,1
135,2606,1
364,109,1
137,2674,4
370,4498,1
370,254,1
292,3399,2
304,3238,1
304,1624,3
151,26,4
151,2269,1
440,3773,2
145,4640,1
183,1144,2
183,2401,1
183,1901,4
183,1181,2
147,1438,3
231,4084,3
449,1072,3
449,5579,4
152,1877,1
222,2927,3
279,944,4
279,4258,3
155,1256,4
365,176,1
365,5243,1
156,5545,3
157,4687,3
157,1289,2
426,496,1
426,5099,2
426,3548,2
426,3242,2
417,5001,4
443,3828,4
306,5504,2
306,1404,3
306,4552,2
306,1680,4
490,1980,2
490,5918,3
490,1138,3
166,1017,3
166,939,1
168,3845,1
189,129,2
189,2607,4
410,5596,2
410,502,1
410,902,3
410,540,1
246,5373,3
246,2235,3
203,2671,1
174,977,3
174,643,2
174,4567,3
218,4942,2
218,1807,1
177,4020,3
177,3869,2
181,3605,1
282,1001,3
282,547,2
282,3471,2
282,2696,2
196,5114,3
196,1376,2
196,3917,3
422,1530,3
252,1956,1
285,563,2
285,2523,4
285,3613,1
285,2857,2
192,3785,1
317,5013,1
198,4487,4
318,4169,2
200,118,1
202,5977,4
202,4828,2
202,5895,2
262,5943,4
262,2202,3
262,1206,4
207,2897,3
390,1939,3
390,2479,4
355,3702,1
355,5710,1
355,3720,4
214,4876,4
320,1604,4
320,4300,1
320,3504,4
280,1803,2
280,5743,1
280,5527,1
330,1967,2
330,861,1
330,3345,1
399,1847,3
424,3612,2
219,3940,1
220,2128,2
288,1638,1
353,2309,3
353,3602,4
360,470,1
360,1051,4
226,1617,3
226,3887,4
228,4523,3
247,4869,4
230,1918,3
327,1703,3
234,3161,2
235,5691,4
401,597,3
238,206,1
239,2976,3
239,3410,1
445,5701,1
244,1525,4
249,4960,1
250,5027,2
254,305,3
257,2775,2
351,5581,1
293,3322,3
265,3027,4
268,606,1
269,855,4
271,2381,4
497,3743,2
488,4205,3
363,1528,4
277,4853,1
337,2303,1
391,320,2
478,2755,1
478,5490,4
442,3039,1
383,4781,3
291,1114,2
291,5837,3
419,319,4
419,389,1
305,1643,3
305,2689,3
307,3957,3
441,4892,4
412,4500,1
412,3978,4
312,2047,1
346,1127,4
346,4450,4
346,1845,4
346,540,1
431,2587,3
328,5028,3
328,4949,3
315,1680,1
315,2877,4
316,1091,1
316,1210,2
386,2266,2
386,1431,2
402,3328,4
402,1356,3
428,4881,4
381,2113,2
339,5438,2
341,2488,4
414,2208,2
344,3393,3
344,5701,1
418,914,3
418,4751,2
348,1503,1
357,1585,4
358,3644,4
403,1821,1
483,1375,2
483,372,3
493,1670,3
373,348,2
373,4523,4
425,4144,2
396,743,3
453,5267,1
453,5742,4
466,3923,2
421,2987,3
456,2091,1
474,5728,1
476,4750,2
451,1909,2
486,595,4
263,1773,1
33,5991,1
133,5774,3
446,3314,1
340,2302,4
497,3933,3
431,5463,4
315,5002,2
444,4716,4
235,2217,2
148,3609,4
109,5323,2
311,176,1
89,5057,2
358,359,2
432,1045,2
44,3074,1
57,2888,4
424,4412,1
237,4939,3
138,505,4
252,553,3
257,1243,4
383,2736,3
366,4582,3
182,3677,2
434,3265,3
254,1337,2
489,2442,4
123,5444,3
144,903,4
162,5866,2
346,3180,4
301,4352,3
